start	end	distance	speed	direction	nodetype	railtype	st_xval	st_yval	et_xval	et_yval
1	2	793	500	N	H	N	0	-3791	0	-2998
2	1	793	500	S	P	N	0	-2998	0	-3791
2	3	1499	500	N	P	N	0	-2998	0	-1499
3	10	1499	500	N	NR	N	0	-1499	0	0
3	2	1499	500	S	N	N	0	-1499	0	-2998
4	17	1000	500	E	N	N	1000	0	2000	0
4	10	1000	500	W	NR	N	1000	0	0	0
5	17	1000	500	W	N	N	3000	0	2000	0
5	6	1000	500	E	N	N	3000	0	4000	0
6	8	1000	500	E	N	N	4000	0	5000	0
6	5	1000	500	W	N	N	4000	0	3000	0
7	18	1000	500	W	N	N	-1000	0	-2000	0
7	10	1000	500	E	NR	N	-1000	0	0	0
8	9	1000	500	E	N	N	5000	0	6000	0
8	6	1000	500	W	N	N	5000	0	4000	0
9	8	1000	500	W	N	N	6000	0	5000	0
9	11	1000	500	E	N	N	6000	0	7000	0
10	3	1499	500	S	R	N	0	0	0	-1499
10	7	1000	500	W	R	N	0	0	-1000	0
10	4	1000	500	E	R	N	0	0	1000	0
11	9	1000	500	W	N	N	7000	0	6000	0
11	12	1000	500	E	N	N	7000	0	8000	0
12	11	1000	500	W	N	N	8000	0	7000	0
12	13	1000	500	E	N	N	8000	0	9000	0
13	12	1000	500	W	N	N	9000	0	8000	0
13	14	1000	500	E	N	N	9000	0	10000	0
14	13	1000	500	W	N	N	10000	0	9000	0
14	15	1000	500	E	N	N	10000	0	11000	0
15	14	1000	500	W	N	N	11000	0	10000	0
15	16	1000	500	E	N	N	11000	0	12000	0
16	15	1000	500	W	N	N	12000	0	11000	0
17	5	1000	500	E	N	N	2000	0	3000	0
17	4	1000	500	W	N	N	2000	0	1000	0
18	7	1000	500	E	N	N	-2000	0	-1000	0
